ACANTHACEAE#DICLIPTERA ROXBURGHIANA#KAEMPFEROL
FABACEAE#PISUM SATIVUM_CV.SOLARIA#KAEMPFEROL-3-SOPHOROTRIOSIDE
FABACEAE#PISUM SATIVUM_VAR.PALERBSE#KAEMPFEROL
FABACEAE#PITHECELLOBIUM ALBICANS#KAEMPFEROL
FABACEAE#PITHECELLOBIUM CLYPEARIA#RESOKAEMPFEROL
FABACEAE#PITHECELLOBIUM DULCE#KAEMPFEROL#KAEMPFEROL GLUCOSIDE#KAEMPFEROL-3-O-ALPHA-L-RHAMNOSIDE
FABACEAE#PITHECELLOBIUM SPLENDENS#RESOKAEMPFEROL
FABACEAE#PONGAMIA PINNATA#KAEMPFEROL
FABACEAE#PROSOPIS ARTICULATA#KAEMPFEROL-3-O-METHYL ETHER
FABACEAE#PROSOPIS GLANDULOSA_VAR.GLANDULOSA#KAEMPFEROL-3-O-METHYL ETHER
FABACEAE#PROSOPIS GLANDULOSA_VAR.TORREYANA#KAEMPFEROL-3-O-METHYL ETHER
FABACEAE#PROSOPIS JULIFLORA#KAEMPFEROL#KAEMPFEROL-4'-METHYL ETHER 3-O-BETA-D-GALACTOPYRANOSIDE
FABACEAE#PSOPHOCARPUS TETRAGONOLOBUS#KAEMPFEROL-7-O-ARABINOSIDE
FABACEAE#PTEROCARPUS MARSUPIUM#KAEMPFEROL,5-DEOXY:#KAEMPFEROL,5-HYDROXY:
FABACEAE#PUERARIA LOBATA#KAEMPFEROL-3-O-RHAMNOSYL-GALACTOSIDE-7-O-RHAMNOSIDE
FABACEAE#RETAMA RAETAM#KAEMPFEROL
FABACEAE#RHYNCHOSIA RUFESCENS#KAEMPFEROL
FABACEAE#ROBINIA NEOMEXICANA#KAEMPFEROL#KAEMPFEROL-7-RHAMNOSYL-3-GALACTOSIDE
FABACEAE#ROBINIA PSEUDOACACIA#KAEMPFEROL#KAEMPFEROL-3-O-BETA-D-GALACTOSYL-7-O-ALPHA-L-RHAMNOSIDE#KAEMPFEROL-3-O-RHAMNOSYL-GALACTOSIDE-7-O-RHAMNOSIDE
FABACEAE#SAROTHAMNUS PATENS#KAEMPFEROL
FABACEAE#SECURIGERA SECURIDACA#KAEMPFEROL
FABACEAE#SENNA ITALICA#KAEMPFEROL
FABACEAE#SESBANIA GRANDIFLORA#KAEMPFEROL,4'-O-METHYL-8-PRENYL: 3-O-[ALPHA-L-RHAMNOSYL(1-6)-BETA-D-GALACTOPYRANOSIDE-7-O-BETA-D-GALACTOPYRANOSIDE#KAEMPFEROL-3-7-DIGLUCOSIDE
FABACEAE#SESBANIA SESBAN#KAEMPFEROL#KAEMPFEROL-3-O-(2-GAL-ALPHA-L-RHAMNOPYRANOSYL-ALPHA-L-RHAMNOPYRANOSYL(1-6)BETA-D-GALACTOSIDE)
FABACEAE#SINDORA BECARRIANA#RESOKAEMPFEROL
FABACEAE#SINDORA CORIACEA#RESOKAEMPFEROL
FABACEAE#SINDORA ECHINOCALYX#RESOKAEMPFEROL
FABACEAE#SOPHORA FLAVESCENS#KAEMPFEROL,8-LAVANDULYL:
FABACEAE#SOPHORA JAPONICA#KAEMPFEROL#KAEMPFEROL GLYCOSIDE#KAEMPFEROL GLYCOSIDE A#KAEMPFEROL GLYCOSIDE B#KAEMPFEROL-3-7-DIGLUCOSIDE#KAEMPFEROL-3-O-(2''-O-BETA-D-GLUCOSYL)-BETA-D-RUTINOSIDE#KAEMPFEROL-3-O-ALPHA-L-RHAMNOPRANOSYL(1-6)-BETA-D-GLYUCOPYRANOSYL(1-2)-BETA-D-GLUCOYRANOSIDE-7-O-ALPHA-L-RHAMNOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCOPYRANOSYL(1-2)-BETA-D-GLUCOPYRANOSIDE-7-O-ALPHA-L-RHAMNOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-SOPHOROSIDE-7-O-ALPHA-L-RHAMNOSIDE#KAEMPFEROL-3-O-[ALPHA-L-RHAMNOPYRANOSYL(1-6)]-[BETA-D-GLUCOPYRANOSYL(1-2)[-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-7-O-ALPHA-L-RHAMNOPYRANOSIDE
FABACEAE#SOPHORA LEACHIANA#KAEMPFEROL,8-METHYL: 7-O-BETA-D-GLUCOSIDE
FABACEAE#SOPHORA SECUNDIFLORA#KAEMPFEROL#KAEMPFEROL,5-DEOXY:#KAEMPFEROL-3-O-RHAMNOGLUCOSIDE#KAEMPFEROL-3-O-RHAMNOSIDE
FABACEAE#SPHAEROPHYSA SALSULA#KAEMPFEROL
FABACEAE#STYPHNOLOBIUM JAPONICUM#KAEMPFEROL#KAEMPFEROL,3-O-BETA-D-GLUCOPYRANOSYL(1-2)-BETA-D-GALACTOPYRANOSYL-7-O-ALPHA-RHAMNOPYRANOSIDE:#KAEMPFEROL,3-O-BETA-D-GLUCOPYRANOSYL(1-2)-[ALPHA-L-RHAMNOPYRANOSYL(1-6)]-BETA-D-GALACTOPYRANOSYL-7-O-ALPHA-RHAMNOPYRANOSIDE:#KAEMPFEROL,3-O-BETA-D-GLUCOPYRANOSYL(1-2)-[ALPHA-L-RHAMNOPYRANOSYL(1-6)]-BETA-D-GLUCOPYRANOSIDE-7-O-ALPHA-RHAMNOPYRANOSIDE:#KAEMPFEROL,3-O-BETA-D-GLUCOPYRANOSYL(1-2)-[BETA-D-GLUCOPYRANOSIDE-7-O-ALPHA-RHAMNOPYRANOSIDE:#KAEMPFEROL,3-O-BETA-D-GLUCOPYRANOSYL(1-2)BETA-D-GALACTOPYRANOSIDE-7-O-ALPHA-L-RHAMNOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-XYLOPYRANOSYL(1-2)[ALPHA-L-RHAMNOPYRANOSYL(1-6)]BETA-D-GLUCOPYRANOSIDE:#KAEMPFEROL-3-O-BETA-D-XYLOPYRANOSYL(1-3)-ALPHA-L-RHAMNOPYRANOSYL(1-6)[BETA-D-GLUCOPYRANOSYL(1-2)]-BETA-D-GLUCOPYRANOSIDE:#KAEMPFEROL-3-O-RHAMNOSYL(1-6)-GLUCOSIDE
FABACEAE#TADEHAGI TRIQUETRUM#KAEMPFEROL-3-O-BETA-D-GALACTOPYRANOSYL(6-1)-ALPHA-L-RHAMNOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-GALACTOSIDE
FABACEAE#TAVERNIERA AEGYPTIACA#KAEMPFEROL-3-O-ROBINIOIOSIDE
FABACEAE#TEPHROSIA CANDIDA#KAEMPFEROL,6-HYDROXY: 4'-METHYL ETHER 3-7-DIHRHAMNOSIDE
FABACEAE#TETRAGONOLOBUS SILIQUOSUS#KAEMPFEROL#KAEMPFEROL,5-DEOXY:
FABACEAE#TRIFOLIUM ALEXANDRINUM#KAEMPFEROL
FABACEAE#TRIFOLIUM ECHINATUM#KAEMPFEROL
FABACEAE#TRIFOLIUM POLYPHYLLUM#KAEMPFEROL
FABACEAE#TRIFOLIUM REPENS#KAEMPFEROL#KAEMPFEROL,3-4'-DIMETHOXY:#KAEMPFEROL-3-O-(6''-ACETYL)-BETA-D-GALACTOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-GALACTOPYRANOSIDE
FABACEAE#TRIFOLIUM SPECIES#KAEMPFEROL
FABACEAE#TRIFOLIUM SUBTERRANEUM_CV.GERALDTON#KAEMPFEROL
FABACEAE#TRIFOLIUM SUBTERRANEUM_CV.MT.BARKER#KAEMPFEROL
FABACEAE#TRIFOLIUM SUBTERRANEUM_CV.RED#KAEMPFEROL
FABACEAE#TRIFOLIUM SUBTERRANEUM_CV.YARLOOP#KAEMPFEROL
FABACEAE#TRIFOLIUM SUBTERRANEUM_GENOTYPE_A258#KAEMPFEROL
FABACEAE#TRIFOLIUM SUBTERRANEUM_GENOTYPE_B763#KAEMPFEROL
FABACEAE#TRIFOLIUM SUBTERRANEUM_GENOTYPE_GERALDTON#KAEMPFEROL
FABACEAE#TRIFOLIUM SUBTERRANEUM_GENOTYPE_L858#KAEMPFEROL
FABACEAE#TRIFOLIUM SUBTERRANEUM_GENOTYPE_N3761#KAEMPFEROL
FABACEAE#TRIFOLIUM SUBTERRANEUM_GENOTYPE_N4285#KAEMPFEROL
FABACEAE#TRIGONELLA ARABICA#KAEMPFEROL-3-7-DIGLUCOSIDE#KAEMPFEROL-3-GALACTOGLUCOSIDE
FABACEAE#TRIGONELLA CAERULEA#KAEMPFEROL
FABACEAE#TRIGONELLA CAERULESCENS#KAEMPFEROL-3-7-DIGLUCOSIDE
FABACEAE#TRIGONELLA CALLICERAS#KAEMPFEROL
FABACEAE#TRIGONELLA CORNICULATA#KAEMPFEROL
FABACEAE#TRIGONELLA CRETICA#KAEMPFEROL
FABACEAE#TRIGONELLA CYLINDRACEA#KAEMPFEROL-3-7-DIGLUCOSIDE#KAEMPFEROL-3-GALACTOGLUCOSIDE
FABACEAE#TRIGONELLA FOENUM-GRAECUM#KAEMPFEROL#KAEMPFEROL-3-7-DIGLUCOSIDE#KAEMPFEROL-3-7-DIGLYCOSIDE#KAEMPFEROL-3-GALACTOGLUCOSIDE#KAEMPFEROL-3-GLYCOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCOSYL(1-2)-(6''-O-ACETYL)-BETA-D-GALACTOSIDE-7-O-BETA-D-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCOSYL(1-2)-BETA-D-GALACTOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCOSYL(1-2)-BETA-D-GALACTOSIDE-7-O-BETA-D-GLUCOSIDE#KAEMPFEROL-7-DIGLUCOSIDE-3-PARA-COUMAROYL-GLUCOSIDE
FABACEAE#TRIGONELLA GEMINIFLORA#KAEMPFEROL
FABACEAE#TRIGONELLA GLABRA#KAEMPFEROL-3-7-DIGLUCOSIDE#KAEMPFEROL-3-GALACTOGLUCOSIDE
FABACEAE#TRIGONELLA LACINIATA#KAEMPFEROL-3-7-DIGLUCOSIDE#KAEMPFEROL-3-GALACTOGLUCOSIDE
FABACEAE#TRIGONELLA MARITIMA#KAEMPFEROL-3-7-DIGLUCOSIDE#KAEMPFEROL-3-GALACTOGLUCOSIDE
FABACEAE#TRIGONELLA MONSPELIACA#KAEMPFEROL
FABACEAE#TRIGONELLA NOEANA#KAEMPFEROL
FABACEAE#TRIGONELLA POLYCERATA#KAEMPFEROL#KAEMPFEROL-3-7-DIGLUCOSIDE#KAEMPFEROL-3-GLYCOSIDE
FABACEAE#TRIGONELLA SPICATA#KAEMPFEROL-3-ROBINOBIOSIDE
FABACEAE#TRIGONELLA STELLATA#KAEMPFEROL-3-7-DIGLUCOSIDE#KAEMPFEROL-3-GALACTOGLUCOSIDE
FABACEAE#VICIA AMOENA#KAEMPFEROL#KAEMPFEROL-3-7-O-ALPHA-L-DIRHAMNOSIDE
FABACEAE#VICIA ANGUSTIFOLIA#KAEMPFEROL
FABACEAE#VICIA CALCARATA#KAEMPFEROL-3-5-DI-O-BETA-D-GLUCOPYRANOSIDE
FABACEAE#VICIA CRACCA#KAEMPFEROL
FABACEAE#VICIA FABA#KAEMPFEROL#KAEMPFEROL-3-7-O-BIS-BETA-D-GLUCOSIDE#KAEMPFEROL-3-O-(2''-ALPHA-L-RHAMNOSYL-BETA-D-GALACTOSIDE) 7-O-ALPHA-L-RHAMNOSIDE#KAEMPFEROL-3-O-(2''-ALPHA-RHAMNOSYL-6''-ACETYL-BETA-D-GALACTOSIDE)-7-O-ALPHA-L-RHAMNOSIDE#KAEMPFEROL-3-O-(6''-ACETYL)-BETA-D-GALACTOSIDE-7-O-ALPHA-L-RHAMNOSIDE#KAEMPFEROL-3-O-ALPHA-L-GALACTOSIDE-7-O-RHAMNOSIDE#KAEMPFEROL-3-O-BETA-D-GALACTOSIDE-7-O-ALPHA-L-RHAMNOSIDE
FABACEAE#VICIA HIRSUTA#KAEMPFEROL
FABACEAE#VICIA MONANTHOS#KAEMPFEROL
FABACEAE#VICIA PEREGRINA#KAEMPFEROL
FABACEAE#VICIA PISIFORMIS#KAEMPFEROL
FABACEAE#VICIA SATIVA#KAEMPFEROL#KAEMPFEROL-3-ALPHA-L-RHAMNOPYRANOSYL(1-6)-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-(4-BETA-D-XYLOPYRANOSYL)-ALPHA-L-RHAMNOPYRANOSYL-7-O-L-RHAMNOPYRANOSIDE
FABACEAE#VICIA SYLVATICA#KAEMPFEROL
FABACEAE#VICIA TENUIFOLIA#KAEMPFEROL
FABACEAE#VICIA TETRASPERMA#KAEMPFEROL
FABACEAE#VICIA VARIABILIS#KAEMPFEROL-3-O-ALPHA-L-RHAMNOSIDE
FABACEAE#VICIA VILLOSA#KAEMPFEROL
FABACEAE#VIGNA ACONITIFOLIA#KAEMPFEROL-3-ROBINOBIOSIDE-7-GLUCOSIDE#KAEMPFEROL-3-SOPHOROSIDE#KAEMPFEROL-7-GLUCOSIDE#KAEMPFEROL-7-RHAMNOSIDE
FABACEAE#VIGNA ADENANTHERA#KAEMPFEROL-3-O-ROBINOBIOSIDE-7-O-ALPHA-L-RHAMNOPYRANOSIDE
FABACEAE#VIGNA ANGULARIS#KAEMPFEROL-3-SOPHOROSIDE#KAEMPFEROL-7-RHAMNOSIDE
FABACEAE#VIGNA CANDIDA#KAEMPFEROL-3-O-ROBINOBIOSIDE-7-O-ALPHA-L-RHAMNOPYRANOSIDE
FABACEAE#VIGNA LUTEOLA#KAEMPFEROL-3-O-BETA-D-ISO-RHAMNINOSIDE#KAEMPFEROL-3-O-BETA-D-ISO-RHAMNINOSIDE-7-O-ALPHA-RHAMNOSIDE#KAEMPFEROL-3-O-BETA-D-XYLOPYRANOSYL-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-BETA-DIGLUCOPYRANOSIDE-7-O-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-BETA-ROBINOBIOSIDE-7-O-ALPHA-L-RHAMNOPYRANOSIDE
FABACEAE#VIGNA MUNGO#KAEMPFEROL-3-SOPHOROSIDE#KAEMPFEROL-7-RHAMNOSIDE
FABACEAE#VIGNA PEDUNCULARIS#KAEMPFEROL-3-O-BETA-D-XYLOPYRANOSYL-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-BETA-DIGLUCOPYRANOSIDE-7-O-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-BETA-ROBINOBIOSIDE-7-O-ALPHA-L-RHAMNOPYRANOSIDE#KAEMPFEROL-3-O-BETA-RUTINOSIDE-7-O-BETA-D-GLUCURONOPYRANOSIDE
FABACEAE#VIGNA RADIATA#KAEMPFEROL#KAEMPFEROL-3-O-BETA-D-GLUCURONIDE#KAEMPFEROL-3-SOPHOROSIDE#KAEMPFEROL-7-RHAMNOSIDE
FABACEAE#VIGNA SPIRALIS#KAEMPFEROL-3-O-BETA-D-RUTINOSIDE-7-O-BETA-D-GLUCURONOPYRANOSIDE#KAEMPFEROL-3-O-ROBINOBIOSIDE-7-O-ALPHA-L-RHAMNOPYRANOSIDE
FABACEAE#VIGNA SUBTERRANEA#KAEMPFEROL-3-GLUCOSIDE-7-RHAMNOSIDE#KAEMPFEROL-3-SOPHOROSIDE#KAEMPFEROL-7-RHAMNOSIDE
FABACEAE#VIGNA TRILOBATA#KAEMPFEROL-3-SOPHOROSIDE
FABACEAE#VIGNA UMBELLATA#KAEMPFEROL-3-SOPHOROSIDE#KAEMPFEROL-7-RHAMNOSIDE
FABACEAE#VIGNA UNGUICULATA#KAEMPFEROL#KAEMPFEROL-3-SOPHOROSIDE#KAEMPFEROL-7-RHAMNOSIDE
FABACEAE#VIGNA UNGUICULATA_SSP.CYLINDRICA#KAEMPFEROL-3-SOPHOROSIDE#KAEMPFEROL-7-RHAMNOSIDE
FABACEAE#VIGNA UNGUICULATA_SSP.SESQUIPEDALIS#KAEMPFEROL-3-SOPHOROSIDE#KAEMPFEROL-7-RHAMNOSIDE
FABACEAE#WISTERIA SINENSIS#KAEMPFEROL
FABACEAE#ZOLLERNIA ILICIFOLIA#KAEMPFEROL-3-O-ALPHA-L-RHAMNOPYRANOSYL(1-2)-O-[ALPHA-L-RHAMNOPYRANOSYL(1-6)]-O-BETA-D-GALACTOPYRANOSYL-7-O-ALPHA-L-RHAMNOPYRANOSIDE
FAGACEAE#CASTANEA CRENATA#KAEMPFEROL
FAGACEAE#CASTANEA SATIVA#KAEMPFEROL-3-O-(2-GLUCOSYL-(PARA-COUMAROYL)-ALPHA-L-RHAMNOPYRANOSYL-(1-6)-BETA-D-GLUCOPYRANOSIDE
FAGACEAE#CASTANEA VULGARIS#KAEMPFEROL
FAGACEAE#FAGUS SYLVATICA#KAEMPFEROL-3-DIGLUCOSIDE#KAEMPFEROL-3-RHAMNOSIDE#KAEMPFEROL-4'-PARA-COUMAROYL-3-DIGLUCOSIDE
FAGACEAE#NOTHOFAGUS ALPINA#CYTOTOXIC ACTIVITY#KAEMPFEROL
FAGACEAE#NOTHOFAGUS ANTARCTICA#CYTOTOXIC ACTIVITY#KAEMPFEROL
FAGACEAE#NOTHOFAGUS BETULOIDES#KAEMPFEROL
FAGACEAE#NOTHOFAGUS DOMBEYI#CYTOTOXIC ACTIVITY#KAEMPFEROL
FAGACEAE#NOTHOFAGUS FUSCA#KAEMPFEROL
FAGACEAE#NOTHOFAGUS GLAUCA#KAEMPFEROL
FAGACEAE#NOTHOFAGUS NITIDA#KAEMPFEROL
FAGACEAE#NOTHOFAGUS OBLIQUA#CYTOTOXIC ACTIVITY#KAEMPFEROL
FAGACEAE#NOTHOFAGUS PUMILIO#CYTOTOXIC ACTIVITY#KAEMPFEROL
FAGACEAE#QUERCUS CANARIENSIS#KAEMPFEROL-3-O-BETA-D-(2''-3''-DIACETYL-4''-CIS-PARA-COUMAROYL-6''-TRANS-PARA-COUMAROYL)-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-(2''-6''-DI-TRANS-PARA-COUMAROYL)-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-(2''-CIS-PARA-COUMAROYL-6''-TRANS-PARA-COUMAROYL)-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-(3''-4''-DIACETYL-2''-6''-DI-TRANS-PARA-COUMAROYL)-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-(6''-GALLOYL)-GLUCOSIDE
FAGACEAE#QUERCUS CERRIS#KAEMPFEROL-3-O-BETA-D-(2''-3''-DIACETYL-4''-CIS-PARA-COUMAROYL-6''-TRANS-PARA-COUMAROYL)-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-(2''-4''-DI-PARA-COUMARYL)-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-(2''-CIS-PARA-COUMAROYL-6''-TRANS-PARA-COUMAROYL)-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-(6''-GALLOYL)-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-[4''-O-ACETYL-6''-O-(PARA-COUMAROYL)]-GLUCOSIDE#KAEMPFEROL-3-O-D-(3''-6''-DIACETYL-2''-4''-DI-PARA-COUMARYL)-GLUCOSIDE
FAGACEAE#QUERCUS COCCIFERA#KAEMPFEROL-3-O-(6''-O-GALLOYL)-BETA-D-GLUCOSIDE
FAGACEAE#QUERCUS DENTATA#KAEMPFEROL#KAEMPFEROL-3-O-(2''-4''-DIACETYL-3''-CIS-PARA-COUMAROYL-6''-TRANS-PARA-COUMAROYL)-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-(2''-6''-DI-O-TRANS-PARA-COUMAROYL-BETA-D-GLUCOSIDE)#KAEMPFEROL-3-O-(6''-TRANS-PARA-COUMAROYL)-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-[2''-6''-DI-O-(TRANS-PARA-COUMAROYL)-3''-4''-DI-O-ACETYL]-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-[2''-6''-DI-O-(TRANS-PARA-COUMAROYL)]-BETA-D-GLUCOSIDE#KAEMPFEROL-6-O-(TRANS-PARA-COUMAROYL)-BETA-D-GLUCOSIDE
FAGACEAE#QUERCUS ENGLERIANA#KAEMPFEROL#KAEMPFEROL-3-O-(2''-6''-DI-TRANS-PARA-CINNAMOYL)-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-(2''-6''-DI-TRANS-PARA-CINNAMOYL-3''-4''-DIACETYL)-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-GALACTOSIDE
FAGACEAE#QUERCUS GLAUCA#KAEMPFEROL-2-3-DI-O-ACETYL-4-O-(CIS-PARA-COUMAROYL)-6-O-(TRANS-PARA-COUMAROYL)-3-O-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-2-6-DI-O-(TRANS-PARA-COUMAROYL)-3-O-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-4-DI-O-ACETYL-2-6-DI-O-(TRANS-PARA-COUMAROYL)-3-O-BETA-D-GLUCOPYRANOSIDE
FAGACEAE#QUERCUS ILEX#KAEMPFEROL-3-O-(2-4-(DI-PARA-COUMAROYL)-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-(2-4-(DI-PARA-COUMAROYL)-BETA-D-GLUCOPYRANOSIDE)#KAEMPFEROL-3-O-(2-4-(DI-PARA-COUMAROYL)-BETA-D-GLUCOSIDE)#KAEMPFEROL-3-O-(2-6-DI-O-(TRANS-CIS-PARA-COUMAROYL)-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-(3-6-DI-O-ACETYL-2-4-DI-O-PARA-COUMAROYL)-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-(2''-3''-DIACETYL-4''-CIS-PARA-COUMAROYL-6''-TRANS-PARA-COUMAROYL)-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-(2''-6''-DI-TRANS-PARA-COUMAROYL-GLUCOPYRANOSIDE)
FAGACEAE#QUERCUS IMBRICATA#KAEMPFEROL-3-O-BETA-D-(2''-3''-DIACETYL-4''-CIS-PARA-COUMAROYL-6''-TRANS-PARA-COUMAROYL)-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-(2''-6''-DI-TRANS-PARA-COUMAROYL)-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-(2''-CIS-PARA-COUMAROYL-6''-TRANS-PARA-COUMAROYL)-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-(3''-4''-DIACETYL-2''-6''-DI-TRANS-PARA-COUMAROYL)-GLUCOPYRANOSIDE
FAGACEAE#QUERCUS LAURIFOLIA#KAEMPFEROL-2-3-DI-O-ACETYL-4-O-(CIS-PARA-COUMAROYL)-6-O-(TRANS-PARA-COUMAROYL)-3-O-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-2-6-DI-O-(TRANS-PARA-COUMAROYL)-3-O-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-2-O-(CIS-PARA-COUMAROYL)-6-O-TRANS-PARA-COUMAROYL)-3-O-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-4-DI-O-ACETYL-2-6-DI-O-(TRANS-PARA-COUMAROYL)-3-O-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-6-O-GALLOYL-3-O-BETA-D-GLUCOPYRANOSIDE
FAGACEAE#QUERCUS PEDUNCULATA#KAEMPFEROL-3-RHAMNOSIDE
FAGACEAE#QUERCUS PUBESCENS#KAEMPFEROL-3-O-BETA-D-(2''-3''-DIACETYL-4''-CIS-PARA-COUMAROYL-6''-TRANS-PARA-COUMAROYL)-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-(2''-CIS-PARA-COUMAROYL-6''-TRANS-PARA-COUMAROYL)-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-(2'-6''-DITRANS-PARA-COUMAROYL)-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-(3''-4''-DIACETYL-2''-6''-DITRANS-PARA-COUMAROYL)-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-(6''-GALLOYL)-GLUCOSIDE
FAGACEAE#QUERCUS ROBUR_VAR.STENOCARPA#KAEMPFEROL-3-O-(2-3-DI-O-ACETYL-4-O-(CIS-PARA-COUMAROYL)-6-O-(TRANS-PARA-COUMAROYL)-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-(2-6-DI-O-(TRANS-PARA-COUMAROYL)-BETA-D-GLUCOPYRANOSIDE)#KAEMPFEROL-3-O-(3-4-DI-O-ACETYL-2-6-DI-O-TRANS-PARA-COUMAROYL)-BETA-D-GLUCOPYRANOSIDE
FAGACEAE#QUERCUS RUBRA#KAEMPFEROL-2-3-DI-O-ACETYL-4-O-(CIS-PARA-COUMAROYL)-6-O-(TRANS-PARA-COUMAROYL)-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-2-6-DI-O-(TRANS-PARA-COUMAROYL)-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-4-DI-O-ACETYL-2-6-DI-O-(TRANS-PARA-COUMAROYL)-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-GLYCOSIDES
FAGACEAE#QUERCUS SUBER#KAEMPFEROL-3-O-(2-3-DI-O-ACETYL-4-O-(CIS-PARA-COUMAROYL)-6-O-(TRANS-PARA-COUMAROYL))-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-(2-6-DI-O-(CIS-PARA-COUMAROYL)-6-O-(TRANS-PARA-COUMAROYL))-BETA-D-GLUCOSIDE#KAEMPFEROL-3-O-(2-6-DI-O-(TRANS-PARA-COUMAROYL))-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-(2-O-(TRANS-PARA-COUMAROYL))-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-(3-4-DI-O-ACETYL-2-6-DI-O-(TRANS-PARA-COUMAROYL))-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-(4-O-ACETYL-6-O-(TRANS-PARA-COUMAROYL))-BETA-D-GLUCOSIDE#KAEMPFEROL-3-O-(6''-O-GALLOYL)-BETA-D-GLUCOSIDE#KAEMPFEROL-3-O-(6-O-(TRANS-PARA-COUMAROYL))-BETA-D-GLUCOSIDE
FAGACEAE#QUERCUS VIRGINIANA#KAEMPFEROL-3-O-BETA-D-(2''-3''-DIACETYL-4''-CIS-PARA-COUMAROYL-6''-TRANS-PARA-COUMAROYL)-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-(2''-6''-DI-TRANS-PARA-COUNAROYL)-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-(2''-CIS-PARA-COUMAROYL-6''-TRANS-PARA-COUMAROYL)-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-(3''-4''-DIACETYL-2''-6''-DI-TRANS-PARA-COUMAROYL)-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-(6''-GALLOYL)-GLUCOSIDE
FLACOURTIACEAE#DOVYALIS CAFFRA#KAEMPFEROL
FOUQUIERIACEAE#FOUQUIERIA SPLENDENS#KAEMPFEROL
FRANKENIACEAE#FRANKENIA CORYMBOSA#KAEMPFEROL-7-BISULFATE#KAEMPFEROL-7-BISULFATE-3-GLUCURONIDE
FRANKENIACEAE#FRANKENIA HIRSUTA#KAEMPFEROL-3-7-DI-O-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCURONIDE#KAEMPFEROL-4'-7-DI-O-GLUCOSIDE
