a 	b 
Helianthus annuus L.cv.Peredovick	Helibisabonol B
Helianthus annuus L.	Lutein
Helianthus annuus L.	Sundiversifolide
Helianthus annuus L.	Trachyloban-19-oic acid
Helianthus annuus L cv.Peredovick.	(+)-Loliolide
Helianthus annuus L cv.Peredovick.	Annuolide F
Helianthus annuus L cv.Peredovick.	Heliannone B
Helianthus annuus L cv.Peredovick.	Heliannuol J
Helianthus annuus L cv.Peredovick.	Helivypolide D
Helianthus annuus L cv.Peredovick.	Helivypolide E
Helianthus annuus L cv.Peredovick.	Maniladiol
Helianthus annuus L cv. Peredovick.	(+)-Dehydrovomifoliol
Helianthus annuus cv.Stella and SH	Annuionone A
Helianthus annuus cv.Stella and SH	Annuionone B
Helianthus annuus cv.Stella and SH	Annuionone E
Helianthus annuus cv.Stella and SH	Annuionone F
Helianthus annuus cv.Stella and SH	Annuionone G
Helianthus annuus cv. SH-	Tanegool
Hevea brasiliensis	(-)-Quebrachitol
Hevea brasiliensis	Heveaflavone
Hevea brasiliensis	Isoprene
Hevea brasiliensis Mull.Arg.	alpha-Tocopherol
Hevea brasiliensis Mull.Arg.	alpha-Tocotrienol
Hevea brasiliensis Mull.Arg.	beta-Tocopherol
Hevea brasiliensis Mull.Arg.	delta-Tocopherol
Hevea brasiliensis Mull.Arg.	delta-Tocotrienol
Hevea brasiliensis Mull.Arg.	gamma-Tocopherol
Hevea brasiliensis Mull.Arg.	gamma-Tocotrienol
Ipomoea nil	3-O-Caffeoylquinic acid
Ipomoea nil	Callistephin
Ipomoea nil	Cyanidin 3-[6''-(4-glucosylcaffeyl)sophoroside]-5-glucoside
Ipomoea nil	Cyanidin 3-[6-(3-glucosylcaffeyl)glucoside]-5-glucoside
Ipomoea nil	Gibberellin A17
Ipomoea nil	Gibberellin A19
Ipomoea nil	Gibberellin A20
Ipomoea nil	Gibberellin A26
Ipomoea nil	Gibberellin A27
Ipomoea nil	Gibberellin A53
Ipomoea nil	Pelargonidin 3-(6''-caffeylglucoside)
Ipomoea nil	Pelargonidin 3-(6''-caffeylsophoroside)-5-glucoside
Ipomoea nil	Pelargonidin 3-O-[2-O-(6-O-(trans-3-O-(beta-D-glucopyranosyl)caffeyl)-beta-D-glucopyranosyl)-6-O-(trans-4-O-(6-O-trans-3-O-(beta-D-glucopyranosyl)caffeyl)-beta-D-glucopyranosyl)caffeyl)-D-glucopyranoside]]-5-O-[beta-D-glucopyranoside]
Ipomoea nil	Pelargonidin 3-O-[2-O-(6-O-(trans-3-O-(beta-D-glucopyranosyl)caffeyl)-beta-D-glucopyranosyl)-6-O-(trans-caffeyl)-beta-D-glucopyranoside]-5-O-[beta-D-glucopyranoside]
Ipomoea nil	Pelargonidin 3-[6'''-(3-glucosylcaffeyl)sophoroside]-5-glucoside
Ipomoea nil	Pelargonidin 3-[6-(3-glucosylcaffeyl) glucoside]
Ipomoea nil	Pelargonidin 3-[6-(3-glucosylcaffeyl)glucoside]-5-glucoside
Ipomoea nil	Pelargonin
Ipomoea nil	Penidin 3-[6-(3-glucosylcaffeyl)glucoside]
Ipomoea nil	Peonidin 3-(6''-caffeylsophoroside)-5-glucoside
Ipomoea nil	Peonidin 3-[6''-(4-glucosylcaffeyl)sophoroside]-5-glucoside
Ipomoea nil	Peonidin 3-[6-(3-glucosylcaffeyl)glucoside]-5-glucoside
Ipomoea nil	Peonidin 3-sophoroside-5-glucoside
Ipomoea nil	Peonin
Jatropha curcas	2-Methylanthraquinone
Jatropha curcas	Heudelotinone
Jatropha curcas	Jatropham
Jatropha curcas	Jatrophatrione
Jatropha curcas	Jatrophone
Jatropha curcas	Palmarumycin CP1
Jatropha curcas	Palmarumycin JC1
Jatropha curcas	Palmarumycin JC2
Jatropha curcas	Tetradecyl-(E)-ferulate
Juglans regia	3,3'-Bisjuglone
Juglans regia	5-Hydroxy-1,4-naphthoquinone
Juglans regia	6-Epi-7-isocucurbic acid
Juglans regia	8-Methoxy-7-octyl-1-naphthalenecarboxylic acid
Juglans regia	Avicularin
Juglans regia	Benzjuglansoic acid
Juglans regia	Betulin
Juglans regia	Cyclotrijuglone
Juglans regia	Eugenin
Juglans regia	Gallic acid
Juglans regia	Gibberellin A1
Juglans regia	Gibberellin A19
Juglans regia	Gibberellin A20
Juglans regia	Gibberellin A29
Juglans regia	Gibberellin A4
Juglans regia	Gibberellin A44
Juglans regia	Gibberellin A53
Juglans regia	Gibberellin A8
Juglans regia	Juglanin
Juglans regia	Juglansbenzoate
Juglans regia	Linalyl acetate
Juglans regia	Melatonin
Juglans regia	Pedunculagin
Juglans regia	Regiaoleate
Juglans regia	Regiapalmitate
Juglans regia	Strictinin
Juglans regia	Tellimagrandin I
Juglans regia	Thyloquinone
Juglans regia	beta-Sitosterol
Juglans regia ssp. Fallax	5-Hydroxytryptamine
Juglans regia L.	alpha-Tocopherol
Juglans regia L.	beta-Tocopherol
Juglans regia L.	delta-Tocopherol
Juglans regia L.	delta-Tocotrienol
Juglans regia L.	gamma-Tocopherol
Lactuca sativa	11,13-Dehydrodesacetylmatricarin
Lactuca sativa	3,14-Dihydroxy-11,13-dihydrocostunolide
Lactuca sativa	3-Epigibberellin A1
Lactuca sativa	Chicoric acid
Lactuca sativa	Crepidiaside A
Lactuca sativa	Crepidiaside B
Lactuca sativa	Cyanidin 3-(6''-malonylglucoside)
Lactuca sativa	Dihydroconiferyl alcohol
Lactuca sativa	Gibberellin A1
Lactuca sativa	Gibberellin A19
Lactuca sativa	Gibberellin A20
Lactuca sativa	Gibberellin A29
Lactuca sativa	Gibberellin A3
Lactuca sativa	Gibberellin A5
Lactuca sativa	Gibberellin A53
Lactuca sativa	Gibberellin A77
Lactuca sativa	Gibberellin A8
Lactuca sativa	Jacquinelin
Lactuca sativa	Lactucaxanthin
Lactuca sativa	Lactucin
Lactuca sativa	Lettucenin A
Lactuca sativa	Notoserolide A
Lactuca sativa	Quercetin 3-(6''-malonylglucoside)-7-glucoside
Lactuca sativa	epsilon, epsilon-carotene
Lactuca sativa L.	11beta,13-Dihydrolactucin
Lactuca sativa L.	15-Deoxylactucin-8-sulfate
Lactuca sativa L.	15-p-Hydroxyphenylacetyl-lactucin-8-sulfate
Lactuca sativa L.	Lactucin-15-oxalate
Lactuca sativa L.	Lactucopicrin
Lactuca sativa L.	Lactucopicrin-15-oxalate
Lactuca sativa L.	Lactuside C
Lactuca sativa L.	Melampolide
Lotus japonicus	(S)-2,3-Epoxysqualene
Lotus japonicus	5-Deoxystrigol
Lotus japonicus	Astragalin
Lotus japonicus	Caffeic acid
Lotus japonicus	Cycloartenol
Lotus japonicus	Kaempferitrin
Lotus japonicus	Lanosterol
Lotus japonicus	Lupeol
Lotus japonicus	Quercetin-3-O-glucoside
Lotus japonicus	Quercetin-3-beta-galactoside
Lotus japonicus	Quercitrin
Lotus japonicus	Quinic acid
Lotus japonicus	beta-Amyrin
Mallotus japonicus	Butyrylmallotochromene
Mallotus japonicus	Catechin-(4alpha->8)-epicatechin-3-O-gallate
Mallotus japonicus	Epigallocatechin gallate
Mallotus japonicus	Epigallocatechin-(4beta->8)-epigallocatechin-3-O-gallate
Mallotus japonicus	Gallocatechin-(4alpha->8)-epigallocatechin-3-O-gallate
Mallotus japonicus	Geraniin
Mallotus japonicus	Isobutyrylmallotochromene
Mallotus japonicus	Isomallotochromanol
Mallotus japonicus	Isomallotochromene
Mallotus japonicus	Mallotochromene
Mallotus japonicus	Mallotojaponin
Mallotus japonicus	Mallotophenone
Mallotus japonicus	Mallotusinic acid
Mallotus japonicus	Prodelphinidin B3
Mallotus japonicus	Punicafolin
Mallotus japonicus	Rutin
Omphalotus japonicus	Dihydroilludin S
Lupinus angustifolius	(-)-Multiflorine
Lupinus angustifolius	13-alpha-Tigloyloxy-lupanine
Lupinus angustifolius	13alpha-(Caproyloxy)lupanine
Lupinus angustifolius	13alpha-Benzoyloxylupanine
Lupinus angustifolius	13alpha-Cinnamoyloxylupanine
Lupinus angustifolius	13alpha-Hydroxymultiflorine
Lupinus angustifolius	2'-Hydroxygenistein
Lupinus angustifolius	5-Aminopentanal
Lupinus angustifolius	9,10-Dihydro-8-hydroxy-10-methyl-8H-pyrano[2,3-h]epicatechin
Lupinus angustifolius	Angustifoline
Lupinus angustifolius	Angustone A
Lupinus angustifolius	Angustone B
Lupinus angustifolius	Angustone C
Lupinus angustifolius	Cadaverine
Lupinus angustifolius	Diminium cation
Lupinus angustifolius	Indole-3-acetyl-L-aspartic acid
Lupinus angustifolius	Licoisoflavone A
Lupinus angustifolius	Lupanine
Lupinus angustifolius	Lupisoflavone
Lupinus angustifolius	N-Malonyltryptophan
Lupinus angustifolius	Proanthocyanidin A1
Lupinus angustifolius	Pyranochromene
Lupinus angustifolius	Sparteine
Lupinus angustifolius	Tetrahydrorhombifoline
Lupinus angustifolius	Wighteone
Lupinus angustifolius	alpha-Isolupanine
Lupinus angustifolius	delta1-Piperideine
Lupinus angustifolius cv.Fest	13-Hydroxylupanine
Lupinus angustifolius cv.Fest	Isoangustifoline
Malus domestica	(+)-Lirioresinol B
Malus domestica	4-p-Coumaroylquinic acid
Malus domestica	Fumaric acid
Malus domestica	Gibberellin A1
Malus domestica	Gibberellin A104
Malus domestica	Gibberellin A105
Malus domestica	Gibberellin A106
Malus domestica	Gibberellin A107
Malus domestica	Gibberellin A108
Malus domestica	Gibberellin A12
Malus domestica	Gibberellin A15
Malus domestica	Gibberellin A17
Malus domestica	Gibberellin A19
Malus domestica	Gibberellin A20
Malus domestica	Gibberellin A24
Malus domestica	Gibberellin A25
Malus domestica	Gibberellin A3
Malus domestica	Gibberellin A34
Malus domestica	Gibberellin A35
Malus domestica	Gibberellin A44
Malus domestica	Gibberellin A45
Malus domestica	Gibberellin A51
Malus domestica	Gibberellin A53
Malus domestica	Gibberellin A54
Malus domestica	Gibberellin A61
Malus domestica	Gibberellin A62
Malus domestica	Gibberellin A63
Malus domestica	Gibberellin A68
Malus domestica	Gibberellin A7
Malus domestica	Gibberellin A70
Malus domestica	Gibberellin A73
Malus domestica	Gibberellin A8
Malus domestica	Gibberellin A80
Malus domestica	Gibberellin A84
Malus domestica	Gibberellin A88
Malus domestica	Gibberellin A9
Malus domestica	Isoprene
Malus domestica	Phloridzin
Malus domestica	Progesterone
Malus domestica	Sinensiaxanthin
Manihot esculenta	3-Oxo-14-taraxeren-29-oic acid
Manihot esculenta	6'-Apiosyllotaustralin
Manihot esculenta	Hydrocyanic acid
Manihot esculenta	Linamarin
Manihot esculenta	Lupenone
Manihot esculenta	Nonanal
Manihot esculenta	Stigmasta-4,6-dien-3-one
Manihot esculenta	Stigmasterol
Manihot esculenta	Taraxerol
Manihot esculenta	Taraxerone
Manihot esculenta	Yucalexin B14
Manihot esculenta	Yucalexin B18
Manihot esculenta	Yucalexin B20
Manihot esculenta	Yucalexin B22
Manihot esculenta	Yucalexin B5
Manihot esculenta	Yucalexin B6
Micromonas pusilla	Anhydrouriolide
Micromonas pusilla	Micromonol
Momordica charantia	(19R,23E)-5beta,19-Epoxy-19,25-dimethoxycucurbita-6,23-dien-3beta-ol
Momordica charantia	(19R,23E)-5beta,19-Epoxy-19-methoxycucurbita-6,23,25-trien-3beta-ol
Momordica charantia	(2E,6E)-Farnesyl diphosphate
Momordica charantia	(S)-2,3-Epoxysqualene
Momordica charantia	13beta,28-Epoxy-11-ursen-3-one
Momordica charantia	19(R)-Methoxy-5beta,19-epoxycucurbita-6,23-dien-3beta,25-diol
Momordica charantia	20,21,22,23,24,25,26,27-Octanorcucurbit-5-ene-3,7,16-trione
Momordica charantia	20,21,22,23,24,25,26,27-Octanorcucurbit-5-ene-3,7,17-trione
Momordica charantia	23,24,25,26,27-Pentanor-3,7-dioxocucurbit-5-en-22-oic acid
Momordica charantia	3-O-Caffeoylquinic acid
Momordica charantia	4-hydroxybenzoic acid
Momordica charantia	5,19-Epoxy-19-methoxy-20,21,22,23,24,25,26,27-octanorcucurbitane-3,7,17-trione
Momordica charantia	7-Methoxycucurbita-5,23,25-trien-3-ol
Momordica charantia	Acetoacetyl-CoA
Momordica charantia	Acetyl-CoA
Momordica charantia	All-trans-squalene
Momordica charantia	Antheraxanthin
Momordica charantia	Benzoic acid
Momordica charantia	Caffeic acid
Momordica charantia	Catechin
Momordica charantia	Charantadiol A
Momordica charantia	Charantoside I
Momordica charantia	Charantoside II
Momordica charantia	Charantoside III
Momordica charantia	Charantoside IV
Momordica charantia	Charantoside V
Momordica charantia	Charantoside VI
Momordica charantia	Charantoside VII
Momordica charantia	Charantoside VIII
Momordica charantia	Cinnamic acid
Momordica charantia	Clerosterol
Momordica charantia	Cucurbita-5,23,25-triene-3,7-dione
Momordica charantia	Cucurbita-5,24-diene-3,7,23-trione
Momordica charantia	Cucurbitadienol
Momordica charantia	Cycloartenol
Momordica charantia	Dimethylally pyrophosphate
Momordica charantia	E-beta-carotene
Momordica charantia	Epicatechin
Momordica charantia	Ferulic acid
Momordica charantia	Gallic acid
Momordica charantia	Geranylgeranyl diphosphate
Momordica charantia	Goyaglycoside-a
Momordica charantia	Goyaglycoside-e
Momordica charantia	Goyaglycoside-f
Momordica charantia	Goyaglycoside-g
Momordica charantia	Goyaglycoside-h
Momordica charantia	Goyasaponin I
Momordica charantia	Goyasaponin II
Momordica charantia	Goyasaponin III
Momordica charantia	HMG-CoA
Momordica charantia	IPP
Momordica charantia	Isopentenyl diphosphate
Momordica charantia	Kaempferol
Momordica charantia	Karavilagenin D
Momordica charantia	Karavilagenin E
Momordica charantia	Kuguacin A
Momordica charantia	Kuguacin B
Momordica charantia	Kuguacin C
Momordica charantia	Kuguacin D
Momordica charantia	Kuguacin E
Momordica charantia	Kuguacin F
Momordica charantia	Kuguacin G
Momordica charantia	Kuguacin H
Momordica charantia	Kuguacin I
Momordica charantia	Kuguacin J
Momordica charantia	Kuguacin K
Momordica charantia	Kuguacin L
Momordica charantia	Kuguacin M
Momordica charantia	Kuguacin N
Momordica charantia	Kuguacin O
Momordica charantia	Kuguacin P
Momordica charantia	Kuguacin Q
Momordica charantia	Kuguacin R
Momordica charantia	Kuguacin S
Momordica charantia	Kuguaglycoside A
Momordica charantia	Kuguaglycoside B
Momordica charantia	Kuguaglycoside C
Momordica charantia	Kuguaglycoside D
Momordica charantia	Kuguaglycoside E
Momordica charantia	Kuguaglycoside F
Momordica charantia	Kuguaglycoside G
Momordica charantia	Kuguaglycoside H
Momordica charantia	Leucocyanidin
Momordica charantia	Lutein
Momordica charantia	Lycopene
Momordica charantia	MCTI I
Momordica charantia	MCTI II
Momordica charantia	Melatonin
Momordica charantia	Mevalonic acid
Momordica charantia	Momorcerebroside I
Momordica charantia	Momorcharaside A
Momordica charantia	Momorcharaside B
Momordica charantia	Momordenol
Momordica charantia	Momordicilin
Momordica charantia	Momordicin II
Momordica charantia	Momordicin IV
Momordica charantia	Momordicin V
Momordica charantia	Momordicine I
Momordica charantia	Momordicoside A
Momordica charantia	Momordicoside B
Momordica charantia	Momordicoside C
Momordica charantia	Momordicoside D
Momordica charantia	Momordicoside E
Momordica charantia	Momordicoside M
Momordica charantia	Momordicoside N
Momordica charantia	Momordicoside O
Momordica charantia	Momordicoside P
Momordica charantia	Momordicoside U
Momordica charantia	Momordicoside V
Momordica charantia	Momordicoside W
Momordica charantia	Momordol
Momordica charantia	Naringenin
Momordica charantia	Naringenin chalcone
Momordica charantia	Phytoene
Momordica charantia	Quercetin
Momordica charantia	Quercetin-3-O-glucoside
Momordica charantia	Rutin
Momordica charantia	Taxifolin
Momordica charantia	Trieleostearin
Momordica charantia	Vicine
Momordica charantia	Violaxnathin
Momordica charantia	Zeaxanthin
Momordica charantia	alpha-Carotene
Momordica charantia	alpha-Eleostearic acid
Momordica charantia	beta-Amyrin
Momordica charantia	beta-Cryptoxanthin
Momordica charantia	beta-Sitosterol
Momordica charantia	dihydrokaempferol
Momordica charantia	p-Coumaric acid
Momordica charantia	p-Coumaroyl CoA
Momordica charantia	zehta-carotene
Momordica charantia L.	19(R)-Methoxy-5beta,19-epoxycucurbita-6,23-dien-3beta,25-diol
Momordica charantia L.	5,19-Epoxycucurbita-6,23-diene-3,25-diol
Momordica charantia L.	Goyaglycoside-b
Momordica charantia L.	Goyaglycoside-c
Momordica charantia L.	Goyaglycoside-d
Momordica charantia L.	Karavilagenin A
Momordica charantia L.	Karavilagenin B
Momordica charantia L.	Karavilagenin C
Momordica charantia L.	Karaviloside I
Momordica charantia L.	Karaviloside II
Momordica charantia L.	Karaviloside III
Momordica charantia L.	Karaviloside IV
Momordica charantia L.	Karaviloside V
Momordica charantia L.	Momordicoside F1
Momordica charantia L.	Momordicoside F2
Momordica charantia L.	Momordicoside G
Momordica charantia L.	Momordicoside I
Momordica charantia L.	Momordicoside K
Momordica charantia L.	Momordicoside L
Musa acuminata	1,2,3,4-Tetrahydro-1-[1-hydroxy-3-(4-hydroxyphenyl)-2-propenyl]-6,7-dimethoxy-2-naphthalenol.
Musa acuminata	1,2,3,4-Tetrahydro-1-[1-hydroxy-3-(4-hydroxyphenyl)-2-propenyl]-7-methoxy-2,6-naphthalenediol
Musa acuminata	2,2'-Dihydroxy-9,9'-bis(4-hydroxyphenyl)-[3,3'-bi-1H-phenalene]-1,1'-dione
Musa acuminata	2,3-Dihydro-2,3-dihydroxy-4-(4-methoxyphenyl)-1H-phenalen-1-one
Musa acuminata	2,3-Dihydro-2,3-dihydroxy-9-(4-hydroxy-3-methoxyphenyl)-1H-phenalen-1-one
Musa acuminata	2,3-Dihydro-2,3-dihydroxy-9-(4-hydroxyphenyl)-1H-phenalen-1-one
Musa acuminata	2,3-Dihydro-4-(4-methoxyphenyl)-1H-phenalene-1,2,3-triol
Musa acuminata	2-(3,4-Dihydroxyphenyl)naphthalic anhydride
Musa acuminata	2-Hydroxy-9-(4-hydroxy-3-methoxyphenyl)-1H-phenalen-1-one
Musa acuminata	2-phenylnaphthalic anhydride
Musa acuminata	4'-O-methylirenolone
Musa acuminata	Anigorootin
Musa acuminata	Anigorufone
Musa acuminata	Catechin
Musa acuminata	Dihydroxyphenylalanine
Musa acuminata	Dopamine
Musa acuminata	Epicatechin
Musa acuminata	Kaempferol
Musa acuminata	Malvidin 3-rutinoside
Musa acuminata	Methoxyanigorufone
Musa acuminata	Musanolone E
Musa acuminata	Naringenin
Musa acuminata	Noradrenaline
Musa acuminata	Peonidin 3-rutinoside
Musa acuminata	Petunidin 3-rutinoside
Musa acuminata	Quercetin
Musa acuminata	Quercetin-3-O-glucoside
Musa acuminata	Quercetin-3-beta-galactoside
Musa acuminata	Rutin
Musa acuminata	Tulipanin
Musa acuminata	Tyramine
Musa acuminata colla AAA var.Cavendish	Hydroxyanigorufone
Musa acuminata colla AAA var.Cavendish	Irenolone
Musa acuminata var. Yangambi km	2-Hydroxy-1H-phenalen-1-one
Nelumbo nucifera	(-)-Armepavine
Nelumbo nucifera	(-)-Roemerine
Nelumbo nucifera	1-Methyl-corypalline
Nelumbo nucifera	10-Nonacosanol
Nelumbo nucifera	Anonaine
Nelumbo nucifera	Dehydroanonaine
Nelumbo nucifera	Dehydronuciferine
Nelumbo nucifera	Dehydroroemerine
Nelumbo nucifera	Isoleurosine
Nelumbo nucifera	Isosinensetin
Nelumbo nucifera	Leucocyanidin
Nelumbo nucifera	Liensinine
Nelumbo nucifera	Lirinidine
Nelumbo nucifera	Liriodenine
Nelumbo nucifera	N-Methylasimilobine
Nelumbo nucifera	Neferine
Nelumbo nucifera	Nuciferine
Nelumbo nucifera	Pronuciferine
Nelumbo nucifera	Pyrocatechin
Nelumbo nucifera	Quercetin-3-O-glucoside
Nelumbo nucifera	Quercetin-3-beta-galactoside
Nelumbo nucifera Gaertn.	Lotusine
Nelumbo nucifera Gaertn.	O-Methylcorypalline
Nicotiana attenuata	(+)-Nornicotine
Nicotiana attenuata	(-)-Anabasine
Nicotiana attenuata	3,6-dihydronicotinic acid
Nicotiana attenuata	5-Aminopentanal
Nicotiana attenuata	Anatabine
Nicotiana attenuata	Cadaverine
Nicotiana attenuata	Nicotine
Nicotiana attenuata	Nornicotine
Nicotiana attenuata	delta1-Piperideine
Nicotiana sylvestris	(+)-5-epi-Aristolochene
Nicotiana sylvestris	(+)-Nornicotine
Nicotiana sylvestris	(-)-Anabasine
Nicotiana sylvestris	(2E,6E)-Farnesyl diphosphate
Nicotiana sylvestris	1-Deoxycapsidiol
Nicotiana sylvestris	20-Hydroxygeranyllinalol
Nicotiana sylvestris	3,6-dihydronicotinic acid
Nicotiana sylvestris	3-Deoxycapsidiol
Nicotiana sylvestris	4,8,13-Duratriene-1,3-diol
Nicotiana sylvestris	5-Aminopentanal
Nicotiana sylvestris	9-Hydroxygeranyllinalol
Nicotiana sylvestris	Anatabine
Nicotiana sylvestris	Cadaverine
Nicotiana sylvestris	Capsidiol
Nicotiana sylvestris	Nicotine
Nicotiana sylvestris	Nornicotine
Nicotiana sylvestris	Sucrose
Nicotiana sylvestris	Sucrose 6-phosphate
Nicotiana sylvestris	delta1-Piperideine
Nicotiana tabacum	(+)-5-epi-Aristolochene
Nicotiana tabacum	(+)-Dehydrosolanascone
Nicotiana tabacum	(+)-Limonene
Nicotiana tabacum	(+)-Nornicotine
Nicotiana tabacum	(+-)-Grossamide
Nicotiana tabacum	(-)-Anabasine
Nicotiana tabacum	(-)-Limonene
Nicotiana tabacum	(-)-Phytuberin
Nicotiana tabacum	(2E,6E)-Farnesyl diphosphate
Nicotiana tabacum	(2E,6S)-Dimethyl-2,7-octadiene-1,6-diol
Nicotiana tabacum	(3-beta)-Ergost-5-en-3-ol
Nicotiana tabacum	(8alpha,11E,13R)-11,14-Labdadiene-8,13-diol
Nicotiana tabacum	(8alpha,11E,13S)-11,14-Labdadiene-8,13-diol
Nicotiana tabacum	1,2-Dihydropyridine
Nicotiana tabacum	1-Deoxycapsidiol
Nicotiana tabacum	1-Hydroxy-1,7-dimethyl-4-isopropyl-2,7-cyclodecadiene
Nicotiana tabacum	1-Methyl-3-(1-methylethyl)-1,2-cyclopentanedicarboxylic acid
Nicotiana tabacum	1-keto-alpha-Cyperone
Nicotiana tabacum	12alpha-Hydroxy-13-epimanoyl oxide
Nicotiana tabacum	2-Carboxyarabinitol 1-phosphate
Nicotiana tabacum	2-Tridecanone
Nicotiana tabacum	3' 5'-cyclic AMP
Nicotiana tabacum	3,4-Dicaffeoylquinic acid
Nicotiana tabacum	3-Deoxycapsidiol
Nicotiana tabacum	3-Methylbutyric acid
Nicotiana tabacum	3-O-Caffeoylquinic acid
Nicotiana tabacum	3beta-Hydroxysolanascone beta-sophoroside
Nicotiana tabacum	4,5-Dicaffeoylquinic acid
Nicotiana tabacum	4,8,13-Cyclotetradecatriene-1,3-diol
Nicotiana tabacum	4,8,13-Duratriene-1,3-diol
Nicotiana tabacum	5-O-Feruloylquinic acid
Nicotiana tabacum	5-O-p-Coumaroylquinic acid
Nicotiana tabacum	6-Hydroxykynurenic acid
Nicotiana tabacum	7-(beta-D-glucopyranosyloxy)-6-methoxycoumarin
Nicotiana tabacum	8-Hydroxy-p-menth-6-en-2-one
Nicotiana tabacum	9-Ribosyl-cis-zeatin
Nicotiana tabacum	9-Ribosyl-trans-zeatin
Nicotiana tabacum	Acetosyringone
Nicotiana tabacum	Agmatine
Nicotiana tabacum	All-trans-squalene
Nicotiana tabacum	Anatabine
Nicotiana tabacum	Anatalline
Nicotiana tabacum	Andrographolide
Nicotiana tabacum	Benzoic acid
Nicotiana tabacum	Cadaverine
Nicotiana tabacum	Capsidiol
Nicotiana tabacum	Cotinine
Nicotiana tabacum	Debneyol
Nicotiana tabacum	Desacetylphytuberin
Nicotiana tabacum	Drim-8-en-7-one
Nicotiana tabacum	Ferulic acid
Nicotiana tabacum	Feruloylquinic acid
Nicotiana tabacum	Geranylgeranyl diphosphate
Nicotiana tabacum	Gibberellin A1
Nicotiana tabacum	Gibberellin A19
Nicotiana tabacum	Gibberellin A20
Nicotiana tabacum	Gibberellin A9
Nicotiana tabacum	Iminoaspartate
Nicotiana tabacum	Indole-3-butyric acid
Nicotiana tabacum	Indole-3-carboxyaldehyde
Nicotiana tabacum	Indole-3-carboxylic acid
Nicotiana tabacum	Indoleacetic acid
Nicotiana tabacum	Isocembrol
Nicotiana tabacum	L-Arginine
Nicotiana tabacum	L-Ornithine
Nicotiana tabacum	Linoleic acid
Nicotiana tabacum	Linolenic acid
Nicotiana tabacum	Loroglossin
Nicotiana tabacum	Lubimin
Nicotiana tabacum	Methyl indole-3-acetate
Nicotiana tabacum	Myosmine
Nicotiana tabacum	N-Caffeoylputrescine
Nicotiana tabacum	N-Carbamoylputrescine
Nicotiana tabacum	N-Methylputrescine
Nicotiana tabacum	N6-(delta2-Isopentenyl)adenine
Nicotiana tabacum	Naphthalene
Nicotiana tabacum	Neochlorogenic acid
Nicotiana tabacum	Neophytadiene
Nicotiana tabacum	Nicotelline
Nicotiana tabacum	Nicotine
Nicotiana tabacum	Nicotyrine
Nicotiana tabacum	Pelargonidin 3-rutinoside
Nicotiana tabacum	Phytol
Nicotiana tabacum	Phytol acetate
Nicotiana tabacum	Phytosphingosine
Nicotiana tabacum	Putrescine
Nicotiana tabacum	Quercetin 3-rutinoside-7-glucoside
Nicotiana tabacum	Quinic acid
Nicotiana tabacum	Quinolinic acid
Nicotiana tabacum	Rishitin
Nicotiana tabacum	Saccharopine
Nicotiana tabacum	Sclareol
Nicotiana tabacum	Solanascone
Nicotiana tabacum	Solavetivone
Nicotiana tabacum	Spermidine
Nicotiana tabacum	Stigmasterol
Nicotiana tabacum	Tryptamine
Nicotiana tabacum	Vitamin B3
Nicotiana tabacum	alpha,beta-Dipyridyl
Nicotiana tabacum	cis-(+-)-2,3,4,5-Tetrahydro-2,5'-dimethyl-5-(1-methylethenyl)-2,2'-bifuran
Nicotiana tabacum	cis-(+-)-2-Methyl-5-(2-methyl-5-isopropyltetrahydro-2-furyl)furan
Nicotiana tabacum	cis-4-Caffeoylquinic acid
Nicotiana tabacum	cis-Abienol
Nicotiana tabacum	decahydro-2,3-dimethylnaphthalene
Nicotiana tabacum	ent-CPP
Nicotiana tabacum	trans-(+-)-2-Methyl-5-(2-methyl-5-isopropenyltetrahydro-2-furyl)furan
Nicotiana tabacum	trans-(+-)-2-Methyl-5-(2-methyl-5-isopropyltetrahydro-2-furyl)furan
Nicotiana tabacum	trans-4-Caffeoylquinic acid
Nicotiana tabacum	trans-Zeatin
Nicotiana tabacum L.	Glutinosone
Nicotiana tabacum L.	Nicotianamine
Nicotiana tabacum L.	Nornicotine
Nicotiana tabacum L.	alpha-Tocopherol
Nicotiana tabacum L.	alpha-Tocotrienol
Nicotiana tabacum L.	beta-Tocopherol
Nicotiana tabacum L.	beta-Tocotrienol
Nicotiana tabacum L.	delta-Tocopherol
Nicotiana tabacum L.	delta-Tocotrienol
Nicotiana tabacum L.	gamma-Tocopherol
Nicotiana tabacum L.	gamma-Tocotrienol
Nicotiana tabacum cv.Samson	Deoxy phytoprostane J1
Nicotiana tomentosiformis	(+)-5-epi-Aristolochene
Nicotiana tomentosiformis	(+)-Nornicotine
Nicotiana tomentosiformis	(-)-Anabasine
Nicotiana tomentosiformis	(2E,6E)-Farnesyl diphosphate
Nicotiana tomentosiformis	1-Deoxycapsidiol
Nicotiana tomentosiformis	3,6-dihydronicotinic acid
Nicotiana tomentosiformis	3-Deoxycapsidiol
Nicotiana tomentosiformis	5-Aminopentanal
Nicotiana tomentosiformis	Anatabine
Nicotiana tomentosiformis	Cadaverine
Nicotiana tomentosiformis	Capsidiol
Nicotiana tomentosiformis	Nicotine
Nicotiana tomentosiformis	Nornicotine
Nicotiana tomentosiformis	delta1-Piperideine
Olea europaea	(-)-Olivil
Olea europaea	(2E)-2-Hexanal
